run_name,best_val_acc,best_epoch,test_loss,test_acc,elapsed_min,total_parameters,trainable_parameters,experiment,source_file,cfg.resize_size,cfg.crop_size,cfg.batch_size,cfg.num_epochs,cfg.lr,cfg.head_lr,cfg.wd,cfg.label_smoothing,cfg.dropout,cfg.channels,cfg.use_batch_norm,cfg.augmentation,cfg.random_erasing,cfg.freeze_backbone,cfg.run_name,cfg.mixup_alpha,cfg.mixup_prob,cfg.early_stop_patience,cfg.img_size,cfg.block_dropout,cfg.image_size,cfg.min_delta,cfg.num_convs_per_block,cfg.cutmix_prob,group
resnet_aug_light,0.2934293429342934,40,3.30245202330902,0.2907290729072907,62.52920077641805,11227812,51300,resnet_aug_light,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_aug_light_summary.json,256,224,64,40,0.001,,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,light,True,True,resnet_aug_light,1.0,1.0,20.0,224.0,,,,,,resnet
resnet18_backbone_1e-4_head_1e-3,0.6156615661566157,38,1.646158815825125,0.6192619261926192,67.58677353858948,11227812,11227812,resnet_backbone_1e-4_head_1e-3,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_backbone_1e-4_head_1e-3_summary.json,256,224,64,40,0.0001,0.001,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,False,resnet18_backbone_1e-4_head_1e-3,1.0,1.0,20.0,224.0,,,,,,resnet
resnet18_backbone_1e-4_head_5e-4,0.6045604560456046,40,1.6844007936712861,0.618061806180618,67.86877425511678,11227812,11227812,resnet_backbone_1e-4_head_5e-4,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_backbone_1e-4_head_5e-4_summary.json,256,224,64,40,0.0001,0.0005,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,False,resnet18_backbone_1e-4_head_5e-4,1.0,1.0,20.0,224.0,,,,,,resnet
resnet18_backbone_1e-5_head_1e-4,0.27932793279327933,38,3.1801711934270207,0.28982898289828984,63.75087274710337,11227812,11227812,resnet_backbone_1e-5_head_1e-4,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_backbone_1e-5_head_1e-4_summary.json,256,224,64,40,1e-05,0.0001,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,False,resnet18_backbone_1e-5_head_1e-4,1.0,1.0,20.0,224.0,,,,,,resnet
resnet18_backbone_3e-5_head_3e-4,0.49084908490849083,39,2.1719003869648135,0.5013501350135013,63.013458315531416,11227812,11227812,resnet_backbone_3e-5_head_3e-4,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_backbone_3e-5_head_3e-4_summary.json,256,224,64,40,3e-05,0.0003,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,False,resnet18_backbone_3e-5_head_3e-4,1.0,1.0,20.0,224.0,,,,,,resnet
resnet18_backbone_5e-5_head_5e-4,0.5562556255625563,35,1.887108094621413,0.5682568256825683,64.74534797668457,11227812,11227812,resnet_backbone_5e-5_head_5e-4,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_backbone_5e-5_head_5e-4_summary.json,256,224,64,40,5e-05,0.0005,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,False,resnet18_backbone_5e-5_head_5e-4,1.0,1.0,20.0,224.0,,,,,,resnet
resnet_base,0.23642364236423644,36,3.4751204231140886,0.25412541254125415,61.42174330552419,11227812,51300,resnet_base,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_base_summary.json,256,224,64,40,0.001,,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,True,resnet_base,1.0,1.0,20.0,224.0,,,,,,resnet
resnet_droput_0.3,0.24932493249324933,36,3.333691542906122,0.26492649264926493,61.16457326809565,11227812,51300,resnet_droput_0.3,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_droput_0.3_summary.json,256,224,64,40,0.001,,0.0001,0.2,0.3,"[64, 128, 256, 512]",True,resnet_strong,True,True,resnet_droput_0.3,1.0,1.0,20.0,224.0,,,,,,resnet
resnet_label_smoothing_0.1,0.23342334233423342,36,3.410394038518842,0.25052505250525053,62.35322598218918,11227812,51300,resnet_label_smoothing_0.1,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_label_smoothing_0.1_summary.json,256,224,64,40,0.001,,0.0001,0.1,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,True,resnet_label_smoothing_0.1,1.0,1.0,20.0,224.0,,,,,,resnet
resnet_label_smoothing_0.25,0.23612361236123613,36,3.512690207924601,0.25412541254125415,62.318006082375845,11227812,51300,resnet_label_smoothing_0.25,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_label_smoothing_0.25_summary.json,256,224,64,40,0.001,,0.0001,0.25,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,True,resnet_label_smoothing_0.25,1.0,1.0,20.0,224.0,,,,,,resnet
resnet_mixup_alpha_0.4,0.2607260726072607,36,3.334584392658626,0.27872787278727873,61.36308954556783,11227812,51300,resnet_mixup_alpha_0.4,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_mixup_alpha_0.4_summary.json,256,224,64,40,0.001,,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,True,resnet_mixup_alpha_0.4,0.4,1.0,20.0,224.0,,,,,,resnet
resnet_mixup_prob_0.3,0.27722772277227725,37,3.219840325287717,0.29432943294329433,70.90517938534418,11227812,51300,resnet_mixup_prob_0.3,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_mixup_prob_0.3_summary.json,256,224,64,40,0.001,,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,True,resnet_mixup_prob_0.3,1.0,0.3,20.0,224.0,,,,,,resnet
resnet_mixup_prob_0.7,0.25232523252325234,37,3.3662993702629542,0.27422742274227424,68.05411950747173,11227812,51300,resnet_mixup_prob_0.7,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_mixup_prob_0.7_summary.json,256,224,64,40,0.001,,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,True,resnet_mixup_prob_0.7,1.0,0.7,20.0,224.0,,,,,,resnet
resnet_no_aug,0.19831983198319833,39,3.5791653799931997,0.19891989198919893,59.19118553002675,11227812,51300,resnet_no_aug,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_no_aug_summary.json,256,224,64,40,0.001,,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,none,True,True,resnet_no_aug,1.0,1.0,20.0,224.0,,,,,,resnet
resnet_no_random,0.24032403240324032,38,3.4706737319163437,0.2532253225322532,61.022228821118674,11227812,51300,resnet_no_random,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_no_random_summary.json,256,224,64,40,0.001,,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,resnet_strong,False,True,resnet_no_random,1.0,1.0,20.0,224.0,,,,,,resnet
resnet_wd_1e-3,0.23642364236423644,36,3.475332030654848,0.25412541254125415,61.73494780858358,11227812,51300,resnet_wd_1e-3,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_wd_1e-3_summary.json,256,224,64,40,0.001,,0.001,0.2,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,True,resnet_wd_1e-3,1.0,1.0,20.0,224.0,,,,,,resnet
resnet_wd_1e-5,0.23642364236423644,36,3.475091217160046,0.25412541254125415,64.61443228324255,11227812,51300,resnet_wd_1e-5,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/resnet_wd_1e-5_summary.json,256,224,64,40,0.001,,1e-05,0.2,0.5,"[64, 128, 256, 512]",True,resnet_strong,True,True,resnet_wd_1e-5,1.0,1.0,20.0,224.0,,,,,,resnet
