run_name,best_val_acc,test_acc,test_loss,best_epoch,augmentation,lr,head_lr,wd,dropout,label_smoothing,freeze_backbone,trainable_parameters
resnet18_best_dropout_0.3,0.7233723372337234,0.7341734173417341,1.2927157810919643,64,light,0.003,,0.0005,0.3,0.1,False,11227812
resnet18_best,0.7158715871587159,0.7302730273027302,1.3404139648355093,98,light,0.003,,0.0005,0.0,0.1,False,11227812
resnet18_best_no_mixup,0.7086708670867087,0.7224722472247225,1.329150844686138,65,light,0.003,,0.0005,0.0,0.1,False,11227812
resnet18_best_no_label_smoothing,0.6978697869786978,0.7107710771077108,1.2162145762839833,59,light,0.003,,0.0005,0.0,0.0,False,11227812
resnet18_best_strong_augmentation,0.684968496849685,0.7002700270027002,1.3814679342384921,66,resnet_strong,0.003,,0.0005,0.0,0.1,False,11227812
resnet18_best_backbone_3e-5_head_3e-4,0.6294629462946295,0.6468646864686468,1.530598446445139,65,light,3e-05,0.0003,0.0005,0.0,0.1,False,11227812
best_model,0.564956495649565,0.5712571257125713,1.7122391418333422,69,light,0.003,,0.0005,0.15,0.1,False,2824580
best_model_no_dropout,0.555055505550555,0.558055805580558,1.7740298513532078,69,light,0.003,,0.0005,0.0,0.1,False,2824580
best_model_no_label_smoothing,0.5517551755175517,0.5514551455145514,1.6945402558558773,69,light,0.003,,0.0005,0.15,0.0,False,2824580
best_model_no_mixup,0.5457545754575458,0.5511551155115512,1.8399865110107203,67,light,0.003,,0.0005,0.15,0.1,False,2824580
best_model_high_dropout,0.4815481548154815,0.489048904890489,1.9347712176002756,65,light,0.003,,0.0005,0.7,0.1,False,2824580
resnet18_same_hyperparameters_whole_model,0.41854185418541856,0.43234323432343236,2.2344701096276927,4,light,0.003,,0.0005,0.0,0.1,False,11227812
best_model_strong_augmentation,0.38043804380438045,0.38613861386138615,2.5756991638494906,63,strong,0.003,,0.0005,0.15,0.1,False,2824580
resnet18_best_freeze_backbone,0.34173417341734175,0.35043504350435045,2.7034414590674767,64,light,0.003,,0.0005,0.0,0.1,True,51300
resnet18_same_hyperparameters_freeze_backbone,0.34443444344434443,0.3477347734773477,2.6930476307976257,65,light,0.003,,0.0005,0.0,0.1,True,51300
resnet18_best_no_augmentation,0.2907290729072907,0.2925292529252925,3.0962935987621893,4,none,0.003,,0.0005,0.0,0.1,False,11227812
best_model_low_learning_rate,0.25472547254725475,0.2526252625262526,2.866470565818789,60,light,0.0001,,0.0005,0.15,0.1,False,2824580
best_model_no_batch_norm,0.13621362136213622,0.12901290129012902,3.7031009873219376,67,light,0.003,,0.0005,0.15,0.1,False,2822180
best_model_no_augmentation,0.11641164116411641,0.11461146114611462,4.236599610583617,50,none,0.003,,0.0005,0.15,0.1,False,2824580
